award_id,generated_internal_id,description,award_amount,awarding_agency,awarding_sub_agency,recipient_name,start_date,end_date,duration_days,contract_award_type,psc_code,naics_code,document_type,fiscal_year,eis_title,eis_match_confidence
INR06B3204097B,CONT_AWD_INR06B3204097B_1425_INR10PC20536_1425,EIS/EIR SUPPORT FOR SAN JOAQUIN RIVER RESTORATION,6144738.0,Department of the Interior,Bureau of Reclamation,STANTEC CONSULTING SERVICES INC.,2007-07-26,2009-02-28,583,DO,F110,,EIS,2007,San Joaquin River Restoration Program A Comprehensive Long-Term Effort to Restore Flows to the San Joaquin River from Friant Dam to the Confluence of Merced River and Restore a Self-Sustaining Chinook,high
47QFWA23F0037,CONT_AWD_47QFWA23F0037_4732_GS00F196CA_4732,SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENT EIS,3099711.0,General Services Administration,Federal Acquisition Service,STANTEC GS INC.,2023-09-29,2027-09-28,1460,DELIVERY ORDER,F110,,EIS,2023,,none
89243221FNE400069,CONT_AWD_89243221FNE400069_8900_GS00F022CA_4732,"ENVIRONMENTAL IMPACT STATEMENT FOR CONSTRUCTION AND DEMONSTRATION OF A PROTOTYPE ADVANCED MOBILE NUCLEAR MICROREACTOR  THIS TASK SUPPORTS THE UNITED STATES DEPARTMENT OF DEFENSE (DOD), ACTING THROUGH THE OFFICE OF THE SECRETARY OF DEFENSE, STRATEGI",2339551.51,Department of Energy,Department of Energy,"LEIDOS, INC.",2021-03-12,2026-03-11,1825,DELIVERY ORDER,F110,,EIS,2021,,none
INL16PD01018,CONT_AWD_INL16PD01018_1422_INL16PC00093_1422,IGF::OT::IGF CENTRAL YUKON RMP/EIS BASE IDIQ,2016329.02,Department of the Interior,Bureau of Land Management,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2016-09-01,2022-12-31,2312,DELIVERY ORDER,F110,,EIS,2016,Central Yukon Resource Management Plan,high
N6247308C9003,CONT_AWD_N6247308C9003_9700_-NONE-_-NONE-,SEIS AT HPS,1775482.48,Department of Defense,Department of the Navy,"LEIDOS, INC.",2008-06-11,2012-10-01,1573,DCA,F110,,EIS,2008,"Shoshone National Forest Land Management Plan Revision (SEIS Front cover: Use of Domestic Sheep, Goats, and Pack Goats)",high
140R1023F0023,CONT_AWD_140R1023F0023_1425_140R1019D0003_1425,SCOGGINS SAFETY OF DAMS EIS,1230950.82,Department of the Interior,Bureau of Reclamation,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2023-08-30,2026-04-30,974,DELIVERY ORDER,F110,,EIS,2023,B.F. Sisk Dam Safety of Dams Modification Project,high
INL16PD00297,CONT_AWD_INL16PD00297_1422_INL16PC00036_1422,IGF::OT::IGF BERING SEA - WESTERN INTERIOR RMP/EIS,1055573.9,Department of the Interior,Bureau of Land Management,"AECOM TECHNICAL SERVICES, INC.",2016-04-07,2018-08-31,876,DELIVERY ORDER,F110,,EIS,2016,Bering Sea - Western Interior Resource Management Plan and Environmental Impact Statement,high
140R1023F0039,CONT_AWD_140R1023F0039_1425_140R1019D0003_1425,CONCONULLY SOD ENVIRONMENTAL ASSESSMENT,1001411.64,Department of the Interior,Bureau of Reclamation,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2023-08-31,2026-05-01,974,DELIVERY ORDER,F110,,EA,2023,,none
140R1020F0008,CONT_AWD_140R1020F0008_1425_140R1019D0003_1425,LEAVENWORTH SWISP EIS,980446.84,Department of the Interior,Bureau of Reclamation,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2020-02-20,2021-08-15,542,DELIVERY ORDER,F110,,EIS,2020,Leavenworth National Fish Hatchery Surface Water Intake Fish Screens and Fish Passage Project,high
140L6318F0011,CONT_AWD_140L6318F0011_1422_INL16PC00093_1422,L16PC00093 CENTERAL YUKON RMP/EIS IDIQ,772415.88,Department of the Interior,Bureau of Land Management,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2018-09-14,2024-09-30,2208,DELIVERY ORDER,F110,,EIS,2018,,none
W9128F25FA209,CONT_AWD_W9128F25FA209_9700_W9128F22D0055_9700,"ENVIRONMENTAL ASSESSMENT FOR MH-139 HELICOPTER LANDING ZONE TRAINING AT MINOT AIR FORCE BASE, NORTH DAKOTA",763133.5,Department of Defense,Department of the Army,THE NDN COMPANIES,2025-09-30,2026-09-29,364,DELIVERY ORDER,F110,,EA,2025,,none
140L6319F0004,CONT_AWD_140L6319F0004_1422_INL16PC00093_1422,L16PC00093 CYFO RMP/EIS TASK ORDER,760875.92,Department of the Interior,Bureau of Land Management,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2019-04-19,2024-12-31,2083,DELIVERY ORDER,F110,,EIS,2019,"Oklahoma, Kansas, and Texas Planning Area; OKT Draft Joint EIS/BLM RMP and BIA Integrated RMP",low
0013,CONT_AWD_0013_9700_W91ZLK11A0007_9700,IGF::OT::IGF  ENVIRONMENTAL IMPACT STATEMENT(EIS),694576.0,Department of Defense,Department of the Army,POTOMAC-HUDSON ENGINEERING INC,2013-09-30,2015-10-28,758,BPA CALL,F110,,EIS,2013,,none
W81XWH10F0512,CONT_AWD_W81XWH10F0512_9700_GS10F0302S_4730,DEVELOPMENT OF AN EIS FOR THE MCMT&E.,693521.97,Department of Defense,Department of the Army,BSA ENVIRONMENTAL SERVICES INC,2010-09-17,2013-12-30,1200,DO,F110,,EIS,2010,Newhall Ranch Resource Management and Development Plan (RMDP) and the Spineflower Conservation Plan (SCP) Implementation Portion of Santa Clara River Valley Los Angeles County CA,high
140R1021F0016,CONT_AWD_140R1021F0016_1425_140R1019D0003_1425,KACHESS ENVIRONMENTAL ASSESSMENT,676225.32,Department of the Interior,Bureau of Reclamation,ENVIRONMENTAL MANAGEMENT & PLANNING SOLUTIONS LLC,2021-05-20,2023-05-19,729,DELIVERY ORDER,F110,,EA,2021,,none
INL11PD01755,CONT_AWD_INL11PD01755_1422_GS10F0090J_4730,CANYON COUNTRY DISTRICT ENVIRONMENTAL IMPACT STATEMENT FOR THE MLP,662521.92,Department of the Interior,Bureau of Land Management,BOOZ ALLEN HAMILTON INC,2011-10-01,2017-03-10,1987,DELIVERY ORDER,F110,,EIS,2012,Westside Land Conveyance Project Congressionally-Mandated Transfer of 16 500 Acres of Public Land to the Westside Irrigation District Big Horn and Washakie Counties WY,low
