award_id,contract_description,auto_match_eis_title,auto_match_score,confirmed_eis_title,notes
140L6319F0004,L16PC00093 CYFO RMP/EIS TASK ORDER,"Oklahoma, Kansas, and Texas Planning Area; OKT Draft Joint EIS/BLM RMP and BIA Integrated RMP",0.43,,
INL11PD01755,CANYON COUNTRY DISTRICT ENVIRONMENTAL IMPACT STATEMENT FOR THE MLP,Westside Land Conveyance Project Congressionally-Mandated Transfer of 16 500 Acres of Public Land to the Westside Irriga,0.35,,
140R1024F0049,PASCO GROUNDWATER PROGRAMMATIC ENVIRONMENTAL IMPACT STATEMENT (PEIS) TASK ORDER.,Odessa Subarea Special Study Columbia Basin Project To Replace Groundwater Currently Used for Irrigation Grant Adams Wal,0.43,,
INR10PD32046,ENVIRONMENTAL IMPACT STATEMENT(EIS) FOR REHABILITATION OF SAN CARLOS IRRIGATION PROJECT,North Bay Water Recycling Program (NBWRP) (Formerly North San Pablo Bay Restoration and Reuse Project) Proposed to Promo,0.35,,
47PB0018F0033,IGF::OT::IGF: TASK ORDER TO PROVIDE SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENT FOR NEPA COMPLIANCE CONTRACT FOR MADAWAS,Calexico West Land Port of Entry in Calexico Expansion of Reconfiguration Implementation CA,0.39,,
INPD2310060071,BISO - NONFEDERAL OIL AND GAS MANAGEMENT POLICY/EIS PHASE III,Big South Fork National River and Recreation Area Obed Wild and Scenic River Non-Federal Oil and Gas Management Plan Imp,0.39,,
DEAT2805RW12351,CONTRACTOR REQUIRED TO PROVIDE FINAL ENVIRONMENTAL IMPACT STATEMENT FOR RAIL ALIGNMENT AND SUPPORTING ENVIRONMENTAL DOCU,Dallas CBD Second Light Rail Alignment (D2 Subway),0.40,,
N4425520F4153,X011 ENVIRONMENTAL IMPACT STATEMENT (EIS) FOR BREMERTON WATERFRON,Bremerton Waterfront Infrastructure Improvements at Puget Sound Naval Shipyard and Intermediate Maintenance Facility,0.43,,
W912BV19C0026,"ENVIRONMENTAL IMPACT STATEMENT (EIS) FOR B-21 RAIDER BOMBER BASING ACTION AT ELLSWORTH AIR FORCE BASE (AFB), SD AND DYES","Powder River Training Complex Ellsworth Air Force Base, South Dakota",0.36,,
DEAT5205NA26299,LANL SUPPLEMENT SITE-WIDE ENVIRONMENTAL IMPACT STATEMENT NEPA DOCUMENT SUPPORT TO LASO,Sandia National Laboratories Site-Wide EIS,0.39,,
N6274223F0101,HOMELAND DEFENSE OF GUAM. SOW TO COMPLETE AN ENVIRONMENTAL IMPACT STATEMENT,Guam and Commonwealth of the Northern Mariana Islands (CNMI) Military Relocation Relocating Marines from Okinawa Visitin,0.40,,
DEAT0707ID60674,PROGRAMMATIC ENVIRONMENTAL IMPACT STATEMENT FOR THE GLOBAL NUCLEAR ENERGY PARTNERSHIP TECHNOLOGY DEMONSTRATION PROGRAM,West Valley Demonstration Project and Western New York Nuclear Service Center Decommissioning and /or Long-Term Stewards,0.39,,
DTNH2216F00085,IGF::OT::IGF GSA SCHEDULE ORDER   TITLE: ENVIRONMENTAL IMPACT STATEMENT (EIS) FOR MODEL YEAR 2022-2025 CORPORATE AVERAGE,Model Year 2022-2025 Corporate Average Fuel Economy Standards; The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule ,0.36,,
W912BV19F0152,"ENVIRONMENTAL IMPACT STATEMENT (EIS) FOR B-21 RAIDER BOMBER BASING ACTION AT ELLSWORTH AIR FORCE BASE (AFB), SD AND DYES","Powder River Training Complex Ellsworth Air Force Base, South Dakota",0.36,,
31310018F0118,TECHNICAL ASSISTANCE FOR THE DEVELOPMENT OF AN ENVIRONMENTAL IMPACT STATEMENT FOR UNC CHURCH ROCK URANIUM MILL SITE LICE,Fluorine Extraction Process and Depleted Uranium Deconversion Plant License Application to Construct Operate and Decommi,0.37,,
DEAT2604NT42063,ENVIRONMENTAL IMPACT STATEMENT - CO-GEN WESTERN GREENBRIER,West Valley Demonstration Project and Western New York Nuclear Service Center Decommissioning and /or Long-Term Stewards,0.43,,
W9127820F0175,ENVIRONMENTAL IMPACT STATEMENT FOR NELLIS AIR FORCE BASE,Honolulu Seawater Air Conditioning Project,0.35,,
DEDT0002359,DE-SOL-0002561 DOE/NNSA ENVIRONMENTAL IMPACT STATEMENT ANALYSIS FOR THE DISPOSITION OF THE KANSAS CITY PLANT,West Valley Demonstration Project and Western New York Nuclear Service Center Decommissioning and /or Long-Term Stewards,0.35,,
W912QR19F0957,"ENVIRONMENTAL IMPACT STATEMENT FOR OLD TIMBER LAKE DAM AT JEFFERSON PROVING GROUNDS, IN",Isabella Lake Dam Safety Modification Project To Remediate Seismic Seepage and Hydrologic Deficiencies in the Main Dam S,0.39,,
140L0620F0351,NEPA NEWCASTLE AND NEBRASKA RESOURCE MANAGEMENT PLANS AND ENVIRONMENTAL IMPACT STATEMENT,PROGRAMMATIC - Allocation of Oil Shale and Tar Sands Resources on Lands Administered Propose to Amend 10 Land Use Plans ,0.35,,
WE13,ARCHITECT-ENGINEER SERVICES FOR ENVIRONMENTAL IMPACT STATEMENT FOR DISPOSAL AND REUSE OF THE EXCESS PROPETIES AT THE FOR,"Disposal and Reuse of Surplus Property at Naval Station Newport, Rhode Island",0.38,,
DEAT0706ID60557,ENVIRONMENTAL IMPACT STATEMENT FOR THE GLOBAL NUCLEAR ENERGY PARTNERSHIP TECHNOLOGY DEMONSTRATION PROGRAM,West Valley Demonstration Project and Western New York Nuclear Service Center Decommissioning and /or Long-Term Stewards,0.39,,
N4008021F4982,ENVIRONMENTAL IMPACT STATEMENT FOR WNY/SEFC LAND EXCHANGE,LEGISLATIVE - Renewal of Naval Air Weapons Station China Lake Public Land Withdrawal,0.35,,
N6247025F0095,ENVIRONMENTAL IMPACT STATEMENT FOR HOME BASING OF F-35C AIRCRAFT,US Navy F-35C West Coast Homebasing,0.35,,
W9127822F0110,THE PURPOSE OF THIS TASK ORDER IS TO PRODUCE AN ENVIRONMENTAL IMPACT STATEMENT (EIS) FOR THE KC46A MAIN OPERATING BASE (,KC-46A Formal Training Unit (FTU) and First Main Operating Base (MOB 1) Beddown,0.44,,
12FPC324F0147,"WATERSHED PLAN/ENVIRONMENTAL IMPACT STATEMENT FOR ST. JOHNS WATERSHED, NEW MADRID AND SCOTT COUNTY, MISSOURI",Bozeman Municipal Watershed Project To Implement Fuel Reduction Activities Bozeman Ranger District Gallatin National For,0.43,,
INP11PD00197,"ENVIRONMENTAL IMPACT STATEMENT, ACQUISITION OF FPL LANDS IN THE EAST EVERGLADES EXPANSION AREA OF EVERGLADES NATIONAL PA","East Everglades Expansion Area, Land Acquisition",0.41,,
